likes,dislikes,views,comment_count,category_id
484.26,14.38,37505.15,59.63,10.0
368.15,11.77,11873.0,47.99,10.0
1634.69,50.29,150328.89,121.98,10.0
3212.44,62.59,115543.24,186.12,10.0
1120.03,59.4,48122.73,167.7,10.0
246.12,1.68,6864.81,7.46,10.0
6749.13,108.62,214016.85,347.36,10.0
340.62,135.13,91190.73,100.77,10.0
173.45,2.66,5973.4,26.88,10.0
2257.61,34.04,41629.05,126.25,10.0
1426.36,131.73,70507.58,317.35,10.0
496.17,14.8,38976.25,60.2,10.0
375.41,12.04,12256.26,48.98,10.0
1648.79,50.92,152385.18,123.43,10.0
3246.13,63.45,117813.72,187.94,10.0
246.97,1.68,6921.94,7.55,10.0
6995.12,117.1,243442.0,353.57,10.0
341.51,135.34,91390.38,100.79,10.0
191.44,3.17,7038.75,29.98,10.0
2344.06,35.36,44931.6,128.94,10.0
1441.13,134.48,73542.08,320.13,10.0
505.31,15.17,40059.12,60.7,10.0
380.54,12.17,12518.59,49.28,10.0
1665.17,51.64,154730.26,124.09,10.0
3272.92,64.03,119638.5,188.4,10.0
247.72,1.71,6974.2,7.54,10.0
7228.39,125.34,272849.17,359.95,10.0
342.2,135.56,91568.69,101.03,10.0
202.35,3.56,7786.25,31.82,10.0
2428.23,36.63,49692.09,131.93,10.0
1455.6,137.59,76723.41,323.16,10.0
513.15,15.59,41265.67,61.52,10.0
384.59,12.22,12729.19,49.3,10.0
1675.86,52.19,156656.31,125.01,10.0
3297.85,64.6,121599.01,190.13,10.0
248.32,1.71,7023.26,7.55,10.0
7463.69,134.59,307043.72,364.61,10.0
343.12,135.81,91789.23,101.5,10.0
541.47,15.16,13918.51,62.56,10.0
207.3,3.71,8122.7,32.66,10.0
17.83,0.93,14825.75,2.26,10.0
2467.09,37.6,52678.55,133.89,10.0
1466.03,139.24,78625.67,326.32,10.0
520.26,15.9,42239.64,61.77,10.0
387.12,12.28,12890.64,49.44,10.0
1682.45,52.49,157930.61,125.27,10.0
3317.38,65.23,123222.76,191.86,10.0
248.81,1.71,7058.0,7.56,10.0
7592.68,137.77,323963.46,368.51,10.0
584.21,26.03,13076.6,101.59,10.0
201.11,4.94,2912.87,10.42,10.0
806.13,22.84,24200.9,93.42,10.0
210.92,3.82,8332.21,33.51,10.0
15.94,0.38,8637.58,0.98,10.0
18.4,0.97,14902.89,2.32,10.0
2497.0,38.39,55082.5,135.73,10.0
527.47,16.31,43214.77,62.12,10.0
389.51,12.32,13009.61,49.65,10.0
1687.13,52.72,158919.18,125.52,10.0
3336.53,65.89,124672.85,191.76,10.0
249.2,1.72,7092.17,7.56,10.0
7721.02,140.84,339856.14,371.81,10.0
993.24,72.14,31365.22,170.34,10.0
270.01,6.67,4967.05,13.51,10.0
1032.02,28.46,33321.25,118.52,10.0
213.13,3.9,8501.87,33.95,10.0
19.4,0.42,11814.51,1.11,10.0
18.82,0.97,14973.36,2.39,10.0
2516.71,39.02,57186.93,136.73,10.0
534.5,16.58,44155.99,62.43,10.0
391.33,12.35,13111.12,49.81,10.0
1690.83,52.93,159730.68,126.0,10.0
3351.8,66.23,125905.52,193.12,10.0
250.44,1.72,7171.03,7.56,10.0
7845.49,144.02,356881.37,375.59,10.0
1109.88,88.04,38128.21,189.68,10.0
305.02,7.54,6216.7,14.63,10.0
1174.06,32.56,40485.57,133.99,10.0
220.21,4.08,9109.73,34.57,10.0
23.28,0.5,15110.03,1.22,10.0
19.1,1.0,15022.83,2.43,10.0
2531.82,39.49,58746.03,137.24,10.0
540.04,16.77,44927.56,62.7,10.0
392.61,12.38,13187.29,49.91,10.0
1694.73,53.17,160486.99,126.71,10.0
3366.25,66.5,127008.45,194.41,10.0
251.09,1.72,7212.72,7.56,10.0
7969.26,147.51,373583.68,378.85,10.0
308.63,4.19,3810.81,63.03,10.0
484.14,9.37,13615.65,51.29,10.0
1178.99,97.8,43097.06,200.11,10.0
338.69,8.36,7464.71,15.7,10.0
1305.43,35.87,46308.64,148.34,10.0
29.5,0.65,19501.82,1.44,10.0
19.6,1.05,15140.93,2.48,10.0
2550.92,39.84,60785.16,139.57,10.0
546.36,17.04,45798.45,63.09,10.0
1702.69,53.43,161781.95,126.63,10.0
3382.51,67.02,128341.22,194.95,10.0
251.58,1.72,7260.44,7.55,10.0
8175.04,153.48,402054.04,384.24,10.0
345.48,5.61,5220.78,70.11,10.0
497.92,9.81,14282.18,53.01,10.0
1192.91,100.55,44689.26,201.82,10.0
345.61,8.59,7846.87,15.76,10.0
1343.67,35.91,48150.05,152.86,10.0
30.5,0.66,21086.45,1.44,10.0
19.72,1.05,15162.13,2.52,10.0
2556.9,40.0,61880.35,139.99,10.0
548.31,17.13,46168.65,63.04,10.0
1704.8,53.54,162153.26,126.51,10.0
3387.55,67.27,128879.49,195.02,10.0
251.76,1.72,7277.59,7.55,10.0
8237.8,154.85,410392.25,385.69,10.0
